Country,Year95to99,Year00to04,Year05to09
Abkhazia,,,
Afghanistan,,,
Akrotiri and Dhekelia,,,1692.720986
Albania,983.5365873,1326.15333,2152.424178
Algeria,1716.073783,1899.078173,
American Samoa,,,21443.12139
Andorra,15825.67473,19228.76795,536.5559579
Angola,281.2376902,321.5765164,
Anguilla,,,12409.62902
Antigua and Barbuda,9894.028722,10075.44471,9216.580691
Argentina,7740.609583,7166.491185,1321.905712
Armenia,524.8712428,787.4368213,
Aruba,19536.75048,19609.01246,24637.64261
Australia,19825.15367,22451.78947,26413.713
Austria,21823.86412,24369.68127,1814.61007
Azerbaijan,528.4539366,792.9422919,21097.75267
Bahamas,19186.31338,21386.56184,13267.53754
Bahrain,11771.355,13691.91369,484.2308673
Bangladesh,329.7984292,388.5578142,9604.142807
Barbados,8781.752901,9079.404044,2248.450936
Belarus,1057.317796,1448.621309,24570.76649
Belgium,20840.69822,23070.98228,3677.102531
Belize,2880.375721,3512.005483,366.8157514
Benin,323.0528764,354.36504,65272.21035
Bermuda,47901.42907,58936.42615,1128.847139
Bhutan,680.00962,857.2164733,1137.503159
Bolivia,988.6521112,1018.487518,2062.803315
Bosnia and Herzegovina,1091.062408,1611.534725,4050.949594
Botswana,2772.920013,3509.28533,4253.713341
Brazil,3632.192045,3752.430823,
British Virgin Islands,,,18057.94191
Brunei,18782.98292,18609.34663,2438.947919
Bulgaria,1443.322111,1795.952778,263.3611316
Burkina Faso,196.6582208,226.1353066,133.0556757
Burundi,136.8437151,131.113996,495.2663649
Cambodia,247.0128298,333.3041545,644.3903867
Cameroon,555.3834149,614.6233237,25756.55273
Canada,21104.77243,24175.20583,1707.329522
Cape Verde,1021.730568,1326.06423,
Cayman Islands,,,224.7604212
Central African Republic,251.7501307,233.0890004,291.2649977
Chad,176.389616,204.350192,43155.5212
Channel Islands,41423.23552,42443.08051,6322.594648
Chile,4660.888825,5376.988541,1842.018155
China,771.8046541,1121.5729,
Christmas Island,,,
Cocos Island,,,3004.608965
Colombia,2580.189521,2567.942439,348.3046938
Comoros,369.0854273,361.3599265,97.46400644
Congo. Dem. Rep.,107.5117941,85.20479759,1135.366826
Congo. Rep.,1028.776497,1047.040438,
Cook Is,,,4951.765332
Costa Rica,3757.464275,4148.666258,576.5327193
Cote d'Ivoire,647.6143854,600.2820187,6424.990213
Croatia,4379.770669,5297.487338,4052.073721
Cuba,2439.138137,2906.783055,15045.45674
Cyprus,12227.3512,13863.899,7610.528742
Czech Republic,5384.092538,6120.259959,
Czechoslovakia,,,31850.60844
Denmark,27829.25264,30225.05134,840.5954807
Djibouti,819.3237284,760.2351907,5692.465306
Dominica,4519.85733,4782.46632,3514.703408
Dominican Republic,2425.489005,2847.17805,
East Germany,,,1638.952493
Ecuador,1343.491401,1383.387802,1763.193802
Egypt,1333.585974,1514.39094,2547.100208
El Salvador,2059.216902,2284.710728,7802.184125
Equatorial Guinea,1324.855217,4368.81361,162.431437
Eritrea,205.2401403,188.0325999,
Eritrea and Ethiopia,,,6442.819839
Estonia,3380.271684,4774.52894,176.1930576
Ethiopia,119.8621051,128.6447777,
Faeroe Islands,,23224.09863,
Falkland Is (Malvinas),,,2295.767041
Fiji,2006.079684,2169.409273,27552.94388
Finland,20584.6629,24506.82945,23051.79457
France,20144.52002,22088.17789,
French Guiana,,,
French Polynesia,13689.67166,14507.54146,4072.248204
Gabon,4620.765606,4040.722036,609.5441676
Gambia,567.3031771,607.5953332,1148.907509
Georgia,598.1409483,797.089039,24662.77761
Germany,21585.0711,23185.06106,319.1599236
Ghana,246.810995,270.8870299,
Gibraltar,,,14343.26908
Greece,10364.04737,12346.43118,20928.27331
Greenland,16716.57293,19032.86084,6287.434723
Grenada,4083.827859,5343.65298,
Guadeloupe,,,
Guam,,,1839.400423
Guatemala,1636.260933,1730.939979,
Guernsey,,,389.9973783
Guinea,340.0009919,372.7253873,156.2513677
Guinea-Bissau,189.2404424,160.677156,1084.576862
Guyana,940.9548679,991.428419,388.9082772
Haiti,420.9534932,404.2519616,
Holy See,,,1376.782386
Honduras,1120.149196,1181.405526,33620.07969
Hong Kong. China,24462.10792,26667.81975,5778.084381
Hungary,4071.107221,4956.367443,36900.84233
Iceland,27876.74312,32075.55423,659.4931769
India,401.0118968,486.5400482,1002.811454
Indonesia,804.2240454,820.0632952,2067.208886
Iran,1466.681225,1686.888408,718.9511291
Iraq,938.1674997,822.4645702,29996.65459
Ireland,20395.73728,27343.8772,27635.55501
Isle of Man,16146.41706,22398.45209,21139.27983
Israel,18202.48146,19247.64016,19755.21843
Italy,18178.22482,19647.10027,
Jamaica,3567.638361,3492.029403,39754.69079
Japan,36785.57435,37740.48997,
Jersey,,,2367.11674
Jordan,1716.338893,1872.695787,2240.461411
Kazakhstan,1067.460694,1530.123777,448.5160412
Kenya,416.3250232,407.4440774,757.0741375
Kiribati,725.1592361,807.4999165,
North Korea,,,14807.46619
South Korea,10081.3762,12320.68009,
"United Korea (former)",,,1700.146955
Kosovo,,1352.01837,24654.81074
Kuwait,20714.32151,20388.19184,350.8532789
Kyrgyz Republic,252.4916206,298.020525,462.8349753
Lao,290.1712139,354.263467,5617.459409
Latvia,2723.794861,3888.091776,5582.991256
Lebanon,4663.920902,4827.683567,446.6138438
Lesotho,357.5382825,394.8146794,215.2998349
Liberia,102.8982556,210.7858902,7628.130974
Libya,6366.402935,6333.467162,80388.66961
Liechtenstein,64609.09984,72911.48773,5444.15541
Lithuania,2885.594738,3837.583302,53680.2119
Luxembourg,39264.54459,48153.64947,25835.3509
Macao. China,14778.00777,16227.01631,2080.328306
Macedonia. FYR,1627.180505,1754.10602,251.2689915
Madagascar,244.7897272,240.9073213,159.2517643
Malawi,153.7046959,147.4323711,4817.865221
Malaysia,3770.307554,4114.520098,3389.752914
Maldives,1954.910483,2558.15464,258.4299121
Mali,200.8596418,234.4033838,10685.15125
Malta,9004.409261,10082.85897,2396.385839
Marshall Islands,2218.9817,2259.004878,
Martinique,,,593.4400478
Mauritania,494.2389933,487.9327605,4645.927835
Mauritius,3354.924983,4015.827515,
Mayotte,,,6146.059327
Mexico,5204.002562,5765.365029,2135.820738
Micronesia. Fed. Sts.,2080.37014,2201.781985,546.0459777
Moldova,371.0099272,408.0338324,95885.27352
Monaco,70873.13332,77579.00265,694.7024205
Mongolia,449.7528508,511.1460267,2081.960905
Montenegro,1571.139297,1627.0118,
Montserrat,,,1670.556287
Morocco,1225.138985,1391.154009,339.2564586
Mozambique,209.9543488,265.5326522,
Myanmar,,,2542.618936
Namibia,2014.618565,2145.609461,
Nauru,,,247.7715044
Nepal,210.0581873,229.0364501,26345.88356
Netherlands,21846.15171,24399.8727,
Netherlands Antilles,,,
New Caledonia,13116.95065,12579.59511,15091.33503
New Zealand,12611.69549,14147.04058,
Ngorno-Karabakh,,,1150.778963
Nicaragua,918.3185926,1027.630752,172.6373733
Niger,172.4924771,168.701095,476.6668683
Nigeria,364.0132444,389.2778411,
Niue,,,
Norfolk Island,,,
Northern Cyprus,,,
Northern Mariana Islands,,,41066.66362
Norway,34761.14795,38451.51373,10539.85134
Oman,8002.538066,9322.146327,630.9919449
Pakistan,499.1237049,527.1383106,6280.257184
Palau,6636.659289,6098.740744,5156.066749
Panama,3663.68557,3978.737441,659.7531584
Papua New Guinea,734.3772844,630.0282739,1404.873615
Paraguay,1453.98558,1279.741624,2709.385451
Peru,2028.145253,2124.603684,1263.050977
Philippines,1017.225818,1086.16128,
Pitcairn,,,5855.474221
Poland,3843.385581,4681.082416,11761.7389
Portugal,10270.40951,11541.05201,17689.39757
Puerto Rico,14469.86314,17164.87489,31496.05848
Qatar,,31448.82489,
Reunion,,,2550.274789
Romania,1703.052852,1892.948677,2767.218189
Russia,1579.435274,2003.872156,307.6378541
Rwanda,208.2126106,237.2151031,
St. Barthélemy,,,
St. Helena,,,10597.033
St. Kitts and Nevis,8306.488181,9473.908592,5323.443452
St. Lucia,4508.534243,4780.957768,
St. Martin,,,4902.697335
St. Vincent and the Grenadines,3229.699899,4017.609685,
St.-Pierre-et-Miquelon,,,1790.286962
Samoa,1272.415901,1538.886908,31116.96455
San Marino,25498.40532,29337.4787,
Sao Tome and Principe,,543.9990393,9410.452081
Saudi Arabia,9189.775717,9161.665389,547.836062
Senegal,465.9960094,504.2604491,1144.97486
Serbia,786.6250028,894.0748874,
Serbia and Montenegro,,,
Serbia excluding Kosovo,,,7932.827055
Seychelles,6773.020124,7179.790125,249.7460805
Sierra Leone,179.3821162,197.8380788,29728.56919
Singapore,21489.92379,24513.2436,7771.121086
Slovak Republic,4983.27601,5809.510175,12869.2699
Slovenia,8846.683024,10715.97846,1064.428565
Solomon Islands,1343.303438,960.448639,
Somalia,,,
Somaliland,,,3628.709035
South Africa,2991.409114,3118.250277,
South Ossetia,,,15980.18809
Spain,12846.11771,14944.01939,1128.613608
Sri Lanka,756.4217581,895.6381033,489.2008311
Sudan,322.5486104,385.1473469,2511.247558
Suriname,1939.867132,2066.249879,
Svalbard,,,1748.582099
Swaziland,1421.544652,1557.402199,32129.30004
Sweden,24856.13593,28902.62543,38201.48627
Switzerland,33594.3544,35708.59211,1415.639753
Syria,1236.826645,1247.593913,
Taiwan,,,227.4523978
Tajikistan,130.1027231,166.6796115,410.9715353
Tanzania,291.5088001,333.6079929,2504.07304
Thailand,1974.885658,2078.028285,340.1192927
Timor-Leste,337.8731239,326.6957131,257.4030982
Togo,277.9411702,257.9875616,
Tokelau,,,2031.505025
Tonga,1804.152876,2020.243856,
Transnistria,,,10319.47914
Trinidad and Tobago,5476.106533,7314.109907,2891.845733
Tunisia,2004.844808,2388.851515,5124.541914
Turkey,3991.683642,4193.198948,956.4004049
Turkmenistan,561.4251702,669.6701333,
Turks and Caicos Islands,,,1535.752036
Tuvalu,1355.923789,1504.620449,338.1538188
Uganda,239.1070739,273.3752578,1054.541801
Ukraine,611.8840275,766.365224,28345.14827
United Arab Emirates,33721.08725,34254.05057,28851.99546
United Kingdom,22776.27899,26363.46509,37905.2558
United States,31922.22878,35715.75121,7696.218553
Uruguay,6782.161573,6467.713268,
USSR,,,785.0662457
Uzbekistan,517.4591005,595.4734747,
Wallis et Futuna,,,1461.686115
Vanuatu,1395.6537,1354.034327,5572.8311
Venezuela,5041.768069,4532.801814,1056.296491
West Bank and Gaza,1344.259645,1101.304053,
West Germany,,,
Western Sahara,,,617.839892
Vietnam,349.4422537,451.3769687,
Virgin Islands (U.S.),,,
North Yemen (former),,,
South Yemen (former),,,576.7143114
Yemen,,551.7655349,
Yugoslavia,,,384.5876774
Zambia,,332.6442048,326.0520838
Zimbabwe,,471.0853997,
Åland,,,
South Sudan,,,
Christian,,,
Coastline,,,
Curaçao,,,
Sint Maarten (Dutch part),,,
St. Martin (French part),,,
Antarctica,,,
Virgin Islands. British,,,
Hawaiian Trade Zone,,,
U.S. Pacific Islands,,,
Wake Island,,,
Bonaire,,,
Sark,,,
Chinese Taipei,,,
Saint Eustatius,,,
Saba,,,